Track 103: r_c =3, RMSE: 37.97, r_c=10 RMSE: 50.56
Track 104: r_c =3, RMSE: 2.98, r_c=10 RMSE: 2.21
Track 105: r_c =3, RMSE: 16.10, r_c=10 RMSE: 19.25
Track 106: r_c =3, RMSE: 41.48, r_c=10 RMSE: 41.73
Track 107: r_c =3, RMSE: 13.01, r_c=10 RMSE: 12.74
Track 108: r_c =3, RMSE: 3.55, r_c=10 RMSE: 3.03
Track 110: r_c =3, RMSE: 3.30, r_c=10 RMSE: 3.51
Track 111: r_c =3, RMSE: 4.41, r_c=10 RMSE: 4.42
Track 112: r_c =3, RMSE: 2.39, r_c=10 RMSE: 2.93
Track 114: r_c =3, RMSE: 24.12, r_c=10 RMSE: 32.70
Track 115: r_c =3, RMSE: 8.69, r_c=10 RMSE: 7.03
Track 117: r_c =3, RMSE: 32.46, r_c=10 RMSE: 19.25
Track 119: r_c =3, RMSE: 9.87, r_c=10 RMSE: 5.50
Track 120: r_c =3, RMSE: 3.19, r_c=10 RMSE: 3.35
Track 121: r_c =3, RMSE: 18.83, r_c=10 RMSE: 4.97
Track 123: r_c =3, RMSE: 11.05, r_c=10 RMSE: 48.99
Track 124: r_c =3, RMSE: 4.62, r_c=10 RMSE: 4.94
Track 125: r_c =3, RMSE: 11.39, r_c=10 RMSE: 12.28
Track 126: r_c =3, RMSE: 6.96, r_c=10 RMSE: 6.01
Track 127: r_c =3, RMSE: 2.35, r_c=10 RMSE: 2.82
Track 128: r_c =3, RMSE: 5.43, r_c=10 RMSE: 5.94
Track 129: r_c =3, RMSE: 7.42, r_c=10 RMSE: 5.80
Track 130: r_c =3, RMSE: 1.05, r_c=10 RMSE: 6.19
Track 131: r_c =3, RMSE: 1.82, r_c=10 RMSE: 1.94
Track 132: r_c =3, RMSE: 24.54, r_c=10 RMSE: 24.86
Track 134: r_c =3, RMSE: 8.76, r_c=10 RMSE: 9.59
Track 137: r_c =3, RMSE: 20.29, r_c=10 RMSE: 21.31
Track 139: r_c =3, RMSE: 12.09, r_c=10 RMSE: 13.78
Track 140: r_c =3, RMSE: 14.37, r_c=10 RMSE: 14.15
Track 141: r_c =3, RMSE: 42.53, r_c=10 RMSE: 59.00
Track 143: r_c =3, RMSE: 19.84, r_c=10 RMSE: 19.79
Track 144: r_c =3, RMSE: 4.02, r_c=10 RMSE: 3.33
Track 145: r_c =3, RMSE: 31.75, r_c=10 RMSE: 35.44
Track 146: r_c =3, RMSE: 22.51, r_c=10 RMSE: 6.00
Track 147: r_c =3, RMSE: 73.58, r_c=10 RMSE: 74.31
Track 148: r_c =3, RMSE: 23.87, r_c=10 RMSE: 30.50
Track 149: r_c =3, RMSE: 70.09, r_c=10 RMSE: 38.16
Track 151: r_c =3, RMSE: 3.31, r_c=10 RMSE: 3.44
Track 152: r_c =3, RMSE: 2.47, r_c=10 RMSE: 2.14
Track 153: r_c =3, RMSE: 20.16, r_c=10 RMSE: 24.52
Track 154: r_c =3, RMSE: 10.58, r_c=10 RMSE: 12.17
Track 155: r_c =3, RMSE: 32.09, r_c=10 RMSE: 16.47
Track 156: r_c =3, RMSE: 22.85, r_c=10 RMSE: 24.07
Track 157: r_c =3, RMSE: 52.23, r_c=10 RMSE: 2.56
Track 159: r_c =3, RMSE: 2.55, r_c=10 RMSE: 2.91
Track 160: r_c =3, RMSE: 14.83, r_c=10 RMSE: 18.12
Track 161: r_c =3, RMSE: 8.18, r_c=10 RMSE: 4.71
Track 162: r_c =3, RMSE: 2.58, r_c=10 RMSE: 4.38
Track 164: r_c =3, RMSE: 11.95, r_c=10 RMSE: 12.92
Track 165: r_c =3, RMSE: 14.73, r_c=10 RMSE: 7.55
Track 166: r_c =3, RMSE: 3.19, r_c=10 RMSE: 3.17
Track 167: r_c =3, RMSE: 23.14, r_c=10 RMSE: 11.87
Track 168: r_c =3, RMSE: 8.12, r_c=10 RMSE: 11.15
Track 169: r_c =3, RMSE: 19.93, r_c=10 RMSE: 42.08
Track 171: r_c =3, RMSE: 21.36, r_c=10 RMSE: 1.32
Track 172: r_c =3, RMSE: 1.99, r_c=10 RMSE: 3.26
Track 173: r_c =3, RMSE: 5.65, r_c=10 RMSE: 5.63
Track 174: r_c =3, RMSE: 15.53, r_c=10 RMSE: 16.01
Track 175: r_c =3, RMSE: 23.63, r_c=10 RMSE: 16.90
Track 176: r_c =3, RMSE: 6.55, r_c=10 RMSE: 6.92
Track 177: r_c =3, RMSE: 3.93, r_c=10 RMSE: 61.67
Track 178: r_c =3, RMSE: 2.79, r_c=10 RMSE: 3.03
Track 179: r_c =3, RMSE: 21.21, r_c=10 RMSE: 8.91
Track 181: r_c =3, RMSE: 3.08, r_c=10 RMSE: 2.61
Track 182: r_c =3, RMSE: 14.41, r_c=10 RMSE: 3.17
Track 183: r_c =3, RMSE: 4.84, r_c=10 RMSE: 4.16
Track 184: r_c =3, RMSE: 3.75, r_c=10 RMSE: 4.37
Track 185: r_c =3, RMSE: 1.94, r_c=10 RMSE: 1.68
Track 187: r_c =3, RMSE: 6.83, r_c=10 RMSE: 7.65
Track 188: r_c =3, RMSE: 52.98, r_c=10 RMSE: 55.09
Track 189: r_c =3, RMSE: 43.58, r_c=10 RMSE: 3.87
Track 192: r_c =3, RMSE: 2.33, r_c=10 RMSE: 1.99
Track 194: r_c =3, RMSE: 4.80, r_c=10 RMSE: 5.72
Track 195: r_c =3, RMSE: 3.83, r_c=10 RMSE: 3.48
Track 196: r_c =3, RMSE: 69.39, r_c=10 RMSE: 74.33
Track 197: r_c =3, RMSE: 17.81, r_c=10 RMSE: 17.41
Track 198: r_c =3, RMSE: 5.45, r_c=10 RMSE: 5.45
Track 199: r_c =3, RMSE: 15.44, r_c=10 RMSE: 7.40
Track 200: r_c =3, RMSE: 53.54, r_c=10 RMSE: 2.94
Track 201: r_c =3, RMSE: 10.64, r_c=10 RMSE: 17.47
Track 202: r_c =3, RMSE: 29.13, r_c=10 RMSE: 6.73
Track 204: r_c =3, RMSE: 2.40, r_c=10 RMSE: 1.79
Track 205: r_c =3, RMSE: 5.64, r_c=10 RMSE: 6.44
Track 208: r_c =3, RMSE: 6.55, r_c=10 RMSE: 5.34
Track 209: r_c =3, RMSE: 4.33, r_c=10 RMSE: 2.08
Track 211: r_c =3, RMSE: 5.75, r_c=10 RMSE: 5.06
Track 212: r_c =3, RMSE: 1.87, r_c=10 RMSE: 2.60
Track 213: r_c =3, RMSE: 35.04, r_c=10 RMSE: 29.60
Track 214: r_c =3, RMSE: 0.79, r_c=10 RMSE: 0.97
Track 215: r_c =3, RMSE: 57.08, r_c=10 RMSE: 12.97
Track 216: r_c =3, RMSE: 32.88, r_c=10 RMSE: 56.05
Track 217: r_c =3, RMSE: 13.28, r_c=10 RMSE: 14.11
Track 218: r_c =3, RMSE: 64.14, r_c=10 RMSE: 67.26
Track 219: r_c =3, RMSE: 4.48, r_c=10 RMSE: 1.62
Track 220: r_c =3, RMSE: 27.92, r_c=10 RMSE: 22.81
Track 221: r_c =3, RMSE: 42.73, r_c=10 RMSE: 42.11
Track 222: r_c =3, RMSE: 5.31, r_c=10 RMSE: 7.09
Track 223: r_c =3, RMSE: 8.76, r_c=10 RMSE: 8.51
Track 224: r_c =3, RMSE: 9.01, r_c=10 RMSE: 8.55
Track 225: r_c =3, RMSE: 63.90, r_c=10 RMSE: 7.30
Track 226: r_c =3, RMSE: 3.64, r_c=10 RMSE: 3.41
Track 227: r_c =3, RMSE: 4.55, r_c=10 RMSE: 5.25
Track 229: r_c =3, RMSE: 25.60, r_c=10 RMSE: 26.42
Track 230: r_c =3, RMSE: 30.45, r_c=10 RMSE: 10.02
Track 231: r_c =3, RMSE: 10.05, r_c=10 RMSE: 6.17
Track 233: r_c =3, RMSE: 38.28, r_c=10 RMSE: 4.80
Track 234: r_c =3, RMSE: 1.57, r_c=10 RMSE: 1.61
Track 235: r_c =3, RMSE: 13.76, r_c=10 RMSE: 10.54
Track 236: r_c =3, RMSE: 3.17, r_c=10 RMSE: 3.14
